■ sigunguName ; 강원도 양양군, sigunguCode : 42830, urlCon : OK, 200, line : 3065
■ sigunguName ; 충청북도, sigunguCode : 43000, urlCon : OK, 200, line : 248
■ sigunguName ; 충청북도 청주시, sigunguCode : 43110, urlCon : OK, 200, line : 248
■ sigunguName ; 충청북도 청주시 상당구, sigunguCode : 43111, urlCon : OK, 200, line : 24977
■ sigunguName ; 충청북도 청주시 서원구, sigunguCode : 43112, urlCon : OK, 200, line : 28516
■ sigunguName ; 충청북도 청주시 흥덕구, sigunguCode : 43113, urlCon : OK, 200, line : 42248
■ sigunguName ; 충청북도 청주시 청원구, sigunguCode : 43114, urlCon : OK, 200, line : 30598
■ sigunguName ; 충청북도 충주시, sigunguCode : 43130, urlCon : OK, 200, line : 22155
■ sigunguName ; 충청북도 제천시, sigunguCode : 43150, urlCon : OK, 200, line : 21618
■ sigunguName ; 충청북도 보은군, sigunguCode : 43720, urlCon : OK, 200, line : 1472
■ sigunguName ; 충청북도 옥천군, sigunguCode : 43730, urlCon : OK, 200, line : 4028
■ sigunguName ; 충청북도 영동군, sigunguCode : 43740, urlCon : OK, 200, line : 3088
■ sigunguName ; 충청북도 증평군, sigunguCode : 43745, urlCon : OK, 200, line : 5310
■ sigunguName ; 충청북도 진천군, sigunguCode : 43750, urlCon : OK, 200, line : 14623
■ sigunguName ; 충청북도 괴산군, sigunguCode : 43760, urlCon : OK, 200, line : 1682
■ sigunguName ; 충청북도 음성군, sigunguCode : 43770, urlCon : OK, 200, line : 13683
■ sigunguName ; 충청북도 단양군, sigunguCode : 43800, urlCon : OK, 200, line : 2862
■ sigunguName ; 충청남도, sigunguCode : 44000, urlCon : OK, 200, line : 248
■ sigunguName ; 충청남도 천안시, sigunguCode : 44130, urlCon : OK, 200, line : 248
■ sigunguName ; 충청남도 천안시 동남구, sigunguCode : 44131, urlCon : OK, 200, line : 41198
■ sigunguName ; 충청남도 천안시 서북구, sigunguCode : 44133, urlCon : OK, 200, line : 72911
■ sigunguName ; 충청남도 공주시, sigunguCode : 44150, urlCon : OK, 200, line : 9373
■ sigunguName ; 충청남도 보령시, sigunguCode : 44180, urlCon : OK, 200, line : 6673
■ sigunguName ; 충청남도 아산시, sigunguCode : 44200, urlCon : OK, 200, line : 52922
■ sigunguName ; 충청남도 서산시, sigunguCode : 44210, urlCon : OK, 200, line : 19144
■ sigunguName ; 충청남도 논산시, sigunguCode : 44230, urlCon : OK, 200, line : 10413
■ sigunguName ; 충청남도 계룡시, sigunguCode : 44250, urlCon : OK, 200, line : 10340
■ sigunguName ; 충청남도 당진시, sigunguCode : 44270, urlCon : OK, 200, line : 19580
■ sigunguName ; 충청남도 금산군, sigunguCode : 44710, urlCon : OK, 200, line : 3380
■ sigunguName ; 충청남도 부여군, sigunguCode : 44760, urlCon : OK, 200, line : 3006
■ sigunguName ; 충청남도 서천군, sigunguCode : 44770, urlCon : OK, 200, line : 1318
■ sigunguName ; 충청남도 청양군, sigunguCode : 44790, urlCon : OK, 200, line : 1130
